Unnamed: 0,Gender,Age,Bike Lanes
83554,Male,Young,Yes
59429,Female,Young,Yes
50201,Female,Young,Yes
62449,Male,Young,No
89489,Female,Young,Yes
92724,Male,Young,Yes
60824,Female,Young,Yes
99498,Male,Young,No
54146,Female,Young,No
84020,Female,Young,Yes
93106,Female,Young,Yes
88695,Male,Young,No
56190,Female,Young,Yes
51416,Female,Young,No
68473,Male,Young,No
79284,Male,Young,No
65179,Male,Young,No
83701,Male,Young,No
62611,Male,Young,Yes
62146,Female,Young,Yes
56115,Male,Young,No
65910,Male,Young,No
50823,Male,Young,Yes
65120,Female,Young,Yes
63468,Male,Young,No
76499,Male,Young,No
92111,Female,Young,Yes
80190,Male,Young,No
87238,Male,Young,No
91569,Male,Young,No
86481,Female,Young,Yes
74150,Female,Young,Yes
55505,Female,Young,Yes
53920,Male,Young,No
88478,Male,Young,Yes
71125,Male,Young,Yes
99717,Male,Young,No
81170,Male,Young,Yes
97609,Male,Young,Yes
61078,Female,Young,Yes
91514,Male,Young,No
72064,Female,Young,Yes
59415,Male,Young,No
88340,Male,Young,Yes
80265,Female,Young,Yes
91252,Female,Young,Yes
64646,Female,Young,Yes
76337,Male,Young,No
78104,Male,Young,No
67525,Male,Young,Yes
74714,Female,Young,Yes
82070,Female,Young,Yes
53852,Female,Young,Yes
90040,Male,Young,Yes
65269,Female,Young,Yes
99146,Male,Young,Yes
80003,Female,Young,Yes
95926,Female,Young,Yes
93824,Female,Young,Yes
67242,Male,Young,No
54894,Female,Young,Yes
50727,Male,Young,No
72951,Female,Young,Yes
84658,Female,Young,Yes
95869,Male,Young,No
70306,Male,Young,No
65271,Female,Young,Yes
72369,Female,Young,Yes
92684,Female,Young,Yes
99343,Male,Young,Yes
61734,Male,Young,Yes
68621,Male,Young,No
91360,Female,Young,Yes
76805,Male,Young,No
90149,Female,Young,Yes
97522,Male,Young,No
82208,Male,Young,No
52532,Male,Young,No
67748,Female,Young,Yes
58272,Female,Young,Yes
65081,Female,Young,Yes
63626,Female,Young,Yes
80640,Female,Young,Yes
80442,Male,Young,No
86057,Male,Young,No
90555,Male,Young,No
86804,Male,Young,No
98224,Male,Young,No
79228,Male,Young,No
55635,Female,Young,Yes
55989,Female,Young,Yes
98063,Male,Young,No
51814,Female,Young,Yes
77580,Male,Young,Yes
66825,Female,Young,Yes
53930,Male,Young,No
97450,Female,Young,Yes
75047,Female,Young,Yes
65729,Male,Young,Yes
79602,Male,Young,Yes
60432,Male,Young,No
75770,Female,Young,Yes
79105,Male,Young,No
90796,Female,Young,Yes
87002,Male,Young,No
85540,Female,Young,Yes
78077,Male,Young,No
67842,Male,Young,No
77804,Female,Young,Yes
57684,Male,Young,No
74281,Female,Young,Yes
99405,Male,Young,No
98274,Female,Young,Yes
87190,Female,Young,Yes
97149,Male,Young,No
96915,Male,Young,No
59803,Female,Young,Yes
88800,Male,Young,Yes
74671,Male,Young,No
94233,Male,Young,No
94255,Female,Young,Yes
57136,Male,Young,No
96671,Female,Young,Yes
79662,Male,Young,No
67895,Female,Young,Yes
72020,Male,Young,No
63540,Male,Young,No
98685,Female,Young,Yes
86421,Male,Young,Yes
59407,Female,Young,Yes
63415,Female,Young,Yes
56722,Male,Young,No
65603,Male,Young,Yes
94743,Male,Young,No
81139,Male,Young,Yes
52731,Female,Young,Yes
84575,Female,Young,Yes
79627,Male,Young,No
97894,Female,Young,Yes
92090,Female,Young,Yes
86400,Female,Young,Yes
56246,Male,Young,No
55547,Female,Young,No
54066,Female,Young,Yes
62853,Female,Young,Yes
71804,Female,Young,Yes
92311,Female,Young,No
56234,Female,Young,Yes
53864,Male,Young,Yes
85095,Female,Young,No
90195,Male,Young,No
83159,Male,Young,No
56219,Female,Young,Yes
86776,Male,Young,No
92976,Male,Young,No
98467,Male,Young,No
64833,Male,Young,Yes
80094,Male,Young,Yes
58895,Male,Young,No
56022,Male,Young,Yes
96088,Female,Young,Yes
65244,Male,Young,No
95307,Male,Young,No
76552,Female,Young,Yes
56036,Female,Young,Yes
57907,Female,Young,Yes
82226,Female,Young,Yes
56019,Female,Young,Yes
71881,Male,Young,No
52793,Male,Young,No
92605,Female,Young,Yes
55825,Male,Young,Yes
65389,Female,Young,Yes
79563,Male,Young,No
89475,Male,Young,No
50294,Male,Young,No
66959,Male,Young,Yes
88156,Female,Young,Yes
64075,Female,Young,Yes
71858,Male,Young,Yes
72081,Male,Young,No
67025,Female,Young,Yes
58741,Male,Young,No
65827,Male,Young,Yes
52743,Male,Young,No
68050,Female,Young,Yes
99936,Male,Young,No
67374,Female,Young,Yes
72023,Female,Young,Yes
96364,Female,Young,Yes
73539,Female,Young,Yes
95499,Female,Young,Yes
90185,Male,Young,Yes
59615,Female,Young,Yes
93281,Male,Young,No
87891,Male,Young,Yes
76180,Male,Young,No
95892,Female,Young,Yes
70935,Male,Young,Yes
90971,Female,Young,Yes
72226,Female,Young,No
74383,Male,Young,Yes
84856,Female,Young,Yes
86398,Female,Young,Yes
88536,Male,Young,Yes
81756,Male,Young,No
57755,Female,Young,No
96638,Female,Young,Yes
93834,Female,Young,Yes
76237,Female,Young,Yes
97508,Male,Young,No
99596,Female,Young,Yes
68554,Male,Young,No
93136,Male,Young,No
86673,Male,Young,No
93649,Female,Young,Yes
53942,Female,Young,Yes
84691,Female,Young,Yes
76595,Male,Young,No
73923,Female,Young,Yes
76404,Male,Young,Yes
95942,Female,Young,Yes
91131,Male,Young,No
68317,Female,Young,Yes
86894,Male,Young,Yes
76697,Female,Young,Yes
98006,Female,Young,Yes
64172,Male,Young,Yes
53734,Female,Young,Yes
57883,Male,Young,Yes
56018,Male,Young,No
73031,Female,Young,Yes
85474,Male,Young,No
99685,Female,Young,Yes
54819,Female,Young,Yes
94503,Male,Young,No
62009,Male,Young,No
91327,Female,Young,Yes
59508,Female,Young,Yes
94798,Female,Young,No
84063,Female,Young,Yes
77476,Female,Young,Yes
81144,Female,Young,Yes
71237,Female,Young,Yes
51392,Male,Young,No
83121,Female,Young,Yes
87624,Female,Young,Yes
92028,Male,Young,No
70836,Male,Young,No
64759,Female,Young,Yes
76398,Male,Young,No
56810,Female,Young,Yes
59227,Female,Young,Yes
93194,Male,Young,Yes
55397,Male,Young,Yes
56945,Female,Young,Yes
73872,Male,Young,No
82493,Female,Young,Yes
86346,Female,Young,Yes
60757,Female,Young,Yes
62303,Female,Young,Yes
90970,Female,Young,Yes
92745,Female,Young,Yes
79091,Male,Young,No
83886,Male,Young,No
64345,Male,Young,No
91440,Female,Young,Yes
55073,Male,Young,Yes
74123,Female,Young,Yes
98809,Female,Young,Yes
67822,Female,Young,Yes
51124,Male,Young,No
61266,Female,Young,Yes
80581,Female,Young,Yes
95464,Female,Young,Yes
94064,Female,Young,Yes
93044,Male,Young,No
65658,Female,Young,Yes
51902,Female,Young,Yes
50149,Male,Young,No
79644,Female,Young,Yes
53213,Male,Young,No
93850,Male,Young,No
52356,Male,Young,No
81521,Male,Young,No
95231,Male,Young,No
93337,Female,Young,Yes
95284,Female,Young,No
96956,Female,Young,Yes
89964,Female,Young,No
89616,Female,Young,Yes
60467,Female,Young,Yes
57823,Female,Young,Yes
57207,Male,Young,No
56415,Female,Young,No
84047,Male,Young,No
62730,Female,Young,Yes
56927,Male,Young,Yes
77997,Female,Young,Yes
87612,Female,Young,No
83022,Male,Young,No
53018,Male,Young,Yes
51642,Male,Young,Yes
58885,Female,Young,Yes
98620,Female,Young,Yes
62971,Male,Young,No
73465,Female,Young,No
65759,Female,Young,Yes
94076,Male,Young,Yes
54088,Female,Young,Yes
50510,Male,Young,No
56356,Female,Young,Yes
79646,Male,Young,No
70817,Female,Young,Yes
56236,Male,Young,No
81990,Female,Young,Yes
62997,Female,Young,Yes
92501,Male,Young,Yes
88920,Female,Young,Yes
50264,Female,Young,Yes
57893,Male,Young,Yes
60529,Male,Young,No
68602,Male,Young,No
74116,Male,Young,No
83499,Male,Young,No
63473,Male,Young,No
81726,Female,Young,Yes
73692,Female,Young,Yes
60559,Male,Young,No
56558,Female,Young,Yes
95577,Female,Young,Yes
91503,Female,Young,Yes
77874,Male,Young,Yes
60812,Male,Young,No
88214,Female,Young,Yes
61732,Female,Young,Yes
77440,Male,Young,No
71781,Male,Young,No
81863,Male,Young,No
72917,Female,Young,Yes
58087,Female,Young,Yes
89197,Male,Young,No
64711,Male,Young,Yes
65468,Female,Young,Yes
87173,Male,Young,Yes
78750,Male,Young,No
53106,Male,Young,Yes
50710,Female,Young,Yes
90556,Female,Young,Yes
73446,Female,Young,Yes
76512,Female,Young,Yes
58468,Male,Young,No
56232,Female,Young,Yes
96358,Female,Young,Yes
87905,Female,Young,Yes
66388,Male,Young,No
84166,Male,Young,No
54170,Female,Young,Yes
55805,Male,Young,No
62755,Male,Young,Yes
52191,Female,Young,Yes
62189,Male,Young,No
81728,Male,Young,No
69247,Male,Young,No
87866,Male,Young,No
94108,Female,Young,Yes
58720,Female,Young,Yes
78826,Male,Young,Yes
74470,Female,Young,Yes
97517,Male,Young,Yes
57203,Female,Young,Yes
59284,Female,Young,Yes
76822,Male,Young,No
77375,Male,Young,Yes
72494,Male,Young,No
95637,Female,Young,Yes
95879,Female,Young,Yes
79341,Male,Young,No
83155,Female,Young,No
60805,Female,Young,Yes
70966,Male,Young,No
80034,Male,Young,No
55224,Female,Young,Yes
50661,Male,Young,No
83246,Male,Young,Yes
55867,Female,Young,Yes
98871,Male,Young,Yes
72987,Male,Young,No
78882,Male,Young,Yes
92821,Male,Young,No
76529,Female,Young,Yes
59649,Male,Young,No
99545,Male,Young,No
97113,Female,Young,Yes
76160,Female,Young,Yes
61713,Male,Young,No
77240,Female,Young,Yes
68355,Female,Young,Yes
99514,Male,Young,No
71726,Female,Young,Yes
75926,Male,Young,Yes
91389,Female,Young,Yes
54774,Male,Young,Yes
85205,Female,Young,Yes
77880,Male,Young,Yes
55876,Female,Young,Yes
67806,Male,Young,No
84224,Female,Young,Yes
57843,Female,Young,Yes
65924,Female,Young,Yes
78368,Male,Young,No
62085,Female,Young,Yes
70035,Female,Young,Yes
64489,Male,Young,Yes
70820,Male,Young,No
87517,Male,Young,Yes
94235,Female,Young,Yes
86221,Male,Young,No
84137,Male,Young,Yes
71071,Female,Young,Yes
59525,Male,Young,No
82756,Male,Young,No
62055,Female,Young,Yes
73595,Male,Young,No
58039,Male,Young,No
96976,Male,Young,No
66401,Female,Young,Yes
95785,Male,Young,No
84616,Male,Young,No
57626,Male,Young,No
63663,Male,Young,Yes
87736,Female,Young,Yes
76543,Male,Young,Yes
63269,Male,Young,No
68084,Female,Young,Yes
98085,Female,Young,Yes
92767,Female,Young,Yes
54072,Male,Young,No
66288,Female,Young,Yes
51120,Female,Young,Yes
60076,Male,Young,Yes
61375,Male,Young,Yes
85698,Female,Young,Yes
96433,Male,Young,No
75351,Male,Young,Yes
56717,Female,Young,Yes
97710,Female,Young,Yes
51032,Female,Young,Yes
72755,Male,Young,Yes
61763,Female,Young,Yes
84829,Male,Young,No
64494,Male,Young,Yes
75087,Female,Young,Yes
70397,Female,Young,Yes
54815,Female,Young,Yes
58996,Male,Young,No
99691,Female,Young,Yes
71376,Male,Young,No
80244,Female,Young,No
97578,Female,Young,Yes
51166,Female,Young,Yes
74812,Male,Young,No
71111,Male,Young,Yes
53699,Male,Young,Yes
61440,Male,Young,No
54471,Female,Young,Yes
59809,Male,Young,Yes
97767,Male,Young,Yes
56750,Female,Young,Yes
87103,Male,Young,Yes
67380,Female,Young,Yes
86885,Male,Young,No
63358,Female,Young,Yes
82405,Male,Young,Yes
89520,Male,Young,No
96065,Female,Young,Yes
61540,Male,Young,No
52010,Female,Young,Yes
53223,Male,Young,No
85311,Female,Young,Yes
68764,Female,Young,Yes
64167,Female,Young,Yes
96386,Male,Young,Yes
75082,Female,Young,Yes
51824,Male,Young,Yes
94661,Male,Young,No
56850,Male,Young,No
62637,Male,Young,No
87668,Female,Young,Yes
56097,Female,Young,Yes
84009,Male,Young,No
60579,Female,Young,Yes
81075,Male,Young,No
79114,Female,Young,Yes
60194,Female,Young,Yes
50316,Male,Young,Yes
61451,Female,Young,Yes
80746,Male,Young,Yes
79704,Male,Young,No
77660,Female,Young,Yes
73687,Male,Young,No
78377,Female,Young,Yes
53087,Male,Young,No
99371,Female,Young,Yes
53753,Female,Young,Yes
55050,Female,Young,Yes
79188,Male,Young,No
98150,Female,Young,Yes
70148,Male,Young,No
82250,Male,Young,No
54971,Male,Young,No
80527,Female,Young,Yes
68496,Female,Young,Yes
88064,Female,Young,Yes
96518,Female,Young,Yes
82753,Female,Young,Yes
70075,Male,Young,Yes
76275,Female,Young,Yes
63651,Female,Young,Yes
75535,Female,Young,Yes
67523,Male,Young,Yes
75482,Female,Young,Yes
97295,Female,Young,Yes
98787,Male,Young,No
82390,Male,Young,No
55088,Male,Young,No
67254,Female,Young,Yes
54041,Male,Young,Yes
68388,Male,Young,No
54248,Male,Young,No
68629,Female,Young,Yes
50881,Female,Young,Yes
73300,Female,Young,Yes
79754,Male,Young,Yes
80174,Male,Young,No
78561,Male,Young,Yes
68865,Female,Young,Yes
93343,Female,Young,Yes
84211,Female,Young,Yes
76085,Male,Young,No
51943,Male,Young,No
72227,Female,Young,Yes
94691,Male,Young,No
93239,Male,Young,No
73861,Female,Young,Yes
64160,Female,Young,Yes
81318,Female,Young,Yes
85489,Female,Young,Yes
73451,Female,Young,Yes
56625,Male,Young,No
91625,Male,Young,No
76243,Female,Young,Yes
96479,Female,Young,Yes
74157,Female,Young,Yes
82059,Male,Young,No
59333,Female,Young,Yes
93564,Male,Young,No
53495,Female,Young,Yes
54880,Male,Young,No
82592,Male,Young,No
51000,Male,Young,No
83098,Male,Young,No
86438,Male,Young,No
84750,Male,Young,Yes
78618,Male,Young,Yes
94206,Male,Young,No
72812,Female,Young,Yes
57144,Female,Young,Yes
71560,Male,Young,No
59937,Male,Young,No
54790,Male,Young,No
80512,Male,Young,Yes
81190,Male,Young,No
70085,Female,Young,Yes
60825,Male,Young,No
50674,Female,Young,Yes
65596,Male,Young,Yes
93048,Male,Young,Yes
71913,Male,Young,Yes
61870,Male,Young,No
81496,Male,Young,Yes
61323,Male,Young,Yes
94211,Male,Young,Yes
74616,Male,Young,Yes
62007,Female,Young,Yes
53941,Male,Young,Yes
54615,Male,Young,No
86760,Female,Young,Yes
87882,Female,Young,Yes
84088,Female,Young,Yes
54349,Male,Young,Yes
89327,Male,Young,No
99922,Female,Young,Yes
72395,Male,Young,No
